what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039494177
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039555802
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039555933
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039557157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039563544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039568353
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1385039568385
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039569909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385039574558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039576333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039719936
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039720061
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039720061
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039722186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039733092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039996452
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039996561
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1385040007359
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1385040008218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385040008968
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1385040009125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385040013797
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385040013843
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385040016863
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385040016879
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385040018613
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385040020847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385040022191
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385040024191
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385040024738
